Date,Price,Open,High,Low,Vol.,Change %
2024-08-14,1230.36,1230.42,1236.51,1228.93,507180.0,0.0
2024-08-13,1230.42,1229.81,1231.55,1223.01,539120.0,0.01
2024-08-12,1230.28,1223.64,1231.46,1221.16,551150.0,0.54
2024-08-09,1223.64,1208.32,1225.02,1208.32,586760.0,1.27
2024-08-08,1208.32,1215.88,1219.97,1202.58,758830.0,-0.62
2024-08-07,1215.88,1210.28,1217.79,1205.11,623850.0,0.46
2024-08-06,1210.28,1188.07,1213.35,1186.74,688840.0,1.87
2024-08-05,1188.07,1236.6,1236.6,1184.53,1040000.0,-3.92
2024-08-02,1236.6,1226.96,1236.6,1209.77,696660.0,0.79
2024-08-01,1226.96,1251.51,1257.85,1222.51,897260.0,-1.96
2024-07-31,1251.51,1245.06,1255.77,1245.06,748850.0,0.52
2024-07-30,1245.06,1246.6,1248.73,1236.97,653070.0,-0.12
2024-07-29,1246.6,1242.11,1249.68,1242.11,496870.0,0.36
2024-07-26,1242.11,1233.19,1242.11,1233.19,458790.0,0.72
2024-07-25,1233.19,1238.47,1238.47,1226.2,484410.0,-0.43
2024-07-24,1238.47,1231.81,1242.4,1218.65,740260.0,0.54
2024-07-23,1231.81,1254.64,1258.74,1231.81,728380.0,-1.82
2024-07-22,1254.64,1264.78,1267.43,1245.02,923630.0,-0.8
2024-07-19,1264.78,1274.44,1279.94,1260.68,791800.0,-0.76
2024-07-18,1274.44,1268.66,1274.67,1256.21,739040.0,0.46
2024-07-17,1268.66,1281.18,1290.76,1256.42,1230000.0,-0.98
2024-07-16,1281.18,1279.82,1291.47,1279.37,684260.0,0.11
2024-07-15,1279.82,1280.75,1286.37,1276.27,573510.0,-0.07
2024-07-12,1280.75,1283.8,1288.67,1277.16,606310.0,-0.24
2024-07-11,1283.8,1285.94,1293.32,1283.8,697230.0,-0.17
2024-07-10,1285.94,1293.71,1297.96,1285.94,751000.0,-0.6
2024-07-09,1293.71,1283.56,1294.15,1283.56,821810.0,0.79
2024-07-08,1283.56,1283.04,1287.14,1277.68,766900.0,0.04
2024-07-05,1283.04,1279.89,1284.98,1276.93,616500.0,0.25
2024-07-04,1279.89,1276.85,1283.13,1274.58,523460.00000000006,0.24
2024-07-03,1276.85,1269.79,1278.14,1268.23,589510.0,0.56
2024-07-02,1269.79,1254.56,1270.47,1254.56,528470.0,1.21
2024-07-01,1254.56,1245.32,1254.56,1240.07,487190.0,0.74
2024-06-28,1245.32,1259.09,1262.61,1240.15,840430.0,-1.09
2024-06-27,1259.09,1261.24,1262.49,1255.12,596990.0,-0.17
